variable,Primary Study Name,Secondary Study Name,Age at Death,Sex,Race (choice=White),Race (choice=Black/ African American),Race (choice=Asian),Race (choice=American Indian/ Alaska Native),Race (choice=Native Hawaiian or Pacific Islander),Race (choice=Unknown or unreported),Race (choice=Other),specify other race,Hispanic/Latino,Highest level of education,Years of education,APOE Genotype,Cognitive Status,Age of onset cognitive symptoms,Age of Dementia diagnosis,Known head injury,Have they had neuroimaging,Consensus Clinical Dx (choice=Alzheimers disease),Consensus Clinical Dx (choice=Alzheimers Possible/ Probable),Consensus Clinical Dx (choice=Ataxia),Consensus Clinical Dx (choice=Corticobasal Degeneration),Consensus Clinical Dx (choice=Control),Consensus Clinical Dx (choice=Dementia with Lewy Bodies/ Lewy Body Disease),Consensus Clinical Dx (choice=Frontotemporal lobar degeneration),Consensus Clinical Dx (choice=Huntingtons disease),Consensus Clinical Dx (choice=Motor Neuron disease),Consensus Clinical Dx (choice=Multiple System Atrophy),Consensus Clinical Dx (choice=Parkinsons disease),Consensus Clinical Dx (choice=Parkinsons Cognitive Impairment - no dementia),Consensus Clinical Dx (choice=Parkinsons Disease Dementia),Consensus Clinical Dx (choice=Prion),Consensus Clinical Dx (choice=Progressive Supranuclear Palsy),Consensus Clinical Dx (choice=Taupathy),Consensus Clinical Dx (choice=Vascular Dementia),Consensus Clinical Dx (choice=Unknown),Consensus Clinical Dx (choice=Other),"If other Consensus dx, describe",Last CASI Score,Interval from last CASI in months,Last MMSE Score,Interval from last MMSE in months,Last MOCA Score,Interval from last MOCA in months,PMI,Rapid Frozen Tissue Type,Ex Vivo Imaging,Fresh Brain Weight,Brain pH,Overall AD neuropathological Change,Thal,Braak,CERAD score,Overall CAA Score,Highest Lewy Body Disease,Total Microinfarcts (not observed grossly),Total microinfarcts in screening sections,Atherosclerosis,Arteriolosclerosis,LATE,RIN,Severely Affected Donor
Primary Study Name,1.0,0.03883120211477354,0.06909098419425067,0.002927347686335544,0.009554384343616797,0.0,0.009554384343616797,0.013541858418445123,0.0,0.0,0.02665807323496688,0.02665807323496688,0.09371355317544879,0.018949551222792616,0.07510482301343356,0.09649882878366998,0.021517888608474874,0.13307108932057896,0.08802358666647861,0.03806671046482951,0.09266717675912226,0.0035766354927370585,0.11261897535283172,0.0,0.0,0.011224538795275914,0.013541858418445123,0.0,0.0,0.0,0.013541858418445123,0.0,0.0,0.013541858418445123,0.0,0.0,0.0,0.013541858418445123,0.06972375007791967,0.0035788545425708314,0.1122211699977969,0.45573315329297903,0.4887466442018879,0.025239903357694573,0.20682887380088696,0.04267790739560119,0.09914128871647701,0.031774636897449825,0.0,0.020656659375222614,0.09511959714016992,0.01222864482266363,0.05068070511052829,0.06475539342557764,0.11942367037414642,0.07614183073085187,0.06819929322840936,0.02583564425412764,0.0368871212321751,0.0008756955708335738,0.007772795090473716,0.0061228426599010235,0.07606479815954083,0.009194945665823774,0.009698041711383913
Secondary Study Name,0.03883120211477354,1.0,0.09761442917233444,0.05380433414161721,0.012486765856729098,0.0,0.012486765856729098,0.006348375262312537,0.0,0.0,0.012486765856729098,0.012486765856729098,0.009039498905123004,0.07388866189124278,0.09299416813740956,0.045337995182113955,0.0,0.0569293118565972,0.044030217583578675,0.05747439238525442,0.04155070613228712,0.031116794107591578,0.05274460215856717,0.0,0.0,0.005706994719730955,0.27034141012718166,0.0,0.0,0.0,0.006348375262312537,0.0,0.0,0.006348375262312537,0.0,0.0,0.0,0.006348375262312537,0.015823887468435875,0.03461445954007696,0.020452481534323642,0.07044747292182262,0.07143595782958807,0.0908627622543893,0.10620801567930939,0.24510578117566234,0.24510578117566234,0.07257381248712619,0.0,0.00967976725519385,0.07365649343558527,0.04073846928691532,0.06280435116452486,0.07130105255425263,0.09236135436579167,0.06163736933002816,0.07520848037560778,0.10015031764557536,0.027167621229378755,0.03461445954007696,0.024927413487177304,0.05599309560769572,0.05850605838600144,0.12783844638971237,0.06738954323177578
Age at Death,0.06909098419425067,0.09761442917233444,1.0,0.017372424980767843,0.038346825756053075,0.0,0.038346825756053075,0.057737805282220535,0.0,0.0,0.06991030889777228,0.06991030889777228,0.08292250627007428,0.0706090206065122,0.10465605523674307,0.10472329186479756,0.054699470300403834,0.1664361792157195,0.12831623021558244,0.0424775735469974,0.04298404182144637,0.02033746598260525,0.016942455386209573,0.0,0.0,0.026847891360956756,0.06468781798296563,0.0,0.0,0.0,0.06468781798296563,0.0,0.0,0.057737805282220535,0.0,0.0,0.0,0.06468781798296563,0.036258004927072485,0.07344666704551389,0.17028374089381682,0.09286436741015551,0.07851553586850066,0.07318755192702112,0.07830086284485234,0.006614360590270684,0.043609316245584964,0.020609832901869192,0.0,0.04999286283336424,0.06677366685847783,0.060209502579157234,0.05048230487905596,0.07772425764855255,0.18699703798218847,0.060675669832832506,0.024925579212133203,0.07113012791764871,0.08765619378164276,0.03126405160118093,0.06029921344929283,0.06745081750767745,0.08013061503669494,0.08369522986003285,0.013166354706336496
Sex,0.002927347686335544,0.05380433414161721,0.017372424980767843,1.0,0.0008734575138151445,0.0,0.0008734575138151445,0.028780217727465723,0.0,0.0,0.05679236902041936,0.05679236902041936,0.04104600696600283,0.02060953519255353,0.014335473155073613,0.00975343700283453,0.003927697566726773,0.02584226748544603,0.01849483413513483,0.015888646656960208,0.022826439662987343,3.0397207431910558e-06,0.0013851625643701922,0.0,0.0,0.011076900953119273,0.05400486713197941,0.0,0.0,0.0,0.028780217727465723,0.0,0.0,0.05400486713197941,0.0,0.0,0.0,0.028780217727465723,0.037792951815594944,4.8623480174652066e-05,0.10386721854726336,0.02805950178788665,0.03972758102023981,0.08281686148366948,0.025612305101241812,0.005185609469135453,0.0134858095006263,0.0040107623413726525,0.0,0.002089044358503811,0.19208480743829007,0.03779141764832002,0.01889436966720608,0.0073972907481640055,0.033273012501226766,0.014238944182617733,0.018457932977870118,0.06725649061381649,0.08269900397337204,0.0033236684668088113,0.005038633191291415,0.008347480044218083,0.023878604040778153,0.030351902851466876,0.009319985563991502
Race (choice=White),0.009554384343616797,0.012486765856729098,0.038346825756053075,0.0008734575138151445,1.0,0.0,0.9999999999999962,0.00436677139355894,0.0,0.0,0.008587015569346686,0.008587015569346686,0.0062171306151546,0.06439427789791356,0.04571717198888446,0.023605913893740248,0.006414026041126396,0.013688107715858638,0.00776739302816053,0.015716229757143724,0.013768027332747868,0.0010552373779159148,0.030204185153120535,0.0,0.0,0.0005661949186393213,0.00436677139355894,0.0,0.0,0.0,0.00436677139355894,0.0,0.0,0.00436677139355894,0.0,0.0,0.0,0.00436677139355894,0.02233519528402448,0.023770856727922552,0.014053751039271055,0.03524692149444981,0.03814171254036467,0.025667636221347483,0.03664644886912792,0.015064864087774648,0.015064864087774648,0.03664644886912792,0.0,0.006657490418604095,0.06839853736952081,0.043085278194977296,0.048578952916172154,0.05874215093177184,0.08486935885115938,0.015251940197289983,0.023858761265126417,0.04664061783114713,0.032661964142520004,0.023770856727922552,0.04635022106448512,0.057276367103801996,0.043126556605825275,0.06991030889777228,0.020659846713922948
Race (choice=Black/ African American),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Race (choice=Asian),0.009554384343616797,0.012486765856729098,0.038346825756053075,0.0008734575138151445,0.9999999999999962,0.0,1.0,0.00436677139355894,0.0,0.0,0.008587015569346686,0.008587015569346686,0.0062171306151546,0.06439427789791356,0.04571717198888446,0.023605913893740248,0.006414026041126396,0.013688107715858638,0.00776739302816053,0.015716229757143724,0.013768027332747868,0.0010552373779159148,0.030204185153120535,0.0,0.0,0.0005661949186393213,0.00436677139355894,0.0,0.0,0.0,0.00436677139355894,0.0,0.0,0.00436677139355894,0.0,0.0,0.0,0.00436677139355894,0.02233519528402448,0.023770856727922552,0.014053751039271055,0.03524692149444981,0.03814171254036467,0.025667636221347483,0.03664644886912792,0.015064864087774648,0.015064864087774648,0.03664644886912792,0.0,0.006657490418604095,0.06839853736952081,0.043085278194977296,0.048578952916172154,0.05874215093177184,0.08486935885115938,0.015251940197289983,0.023858761265126417,0.04664061783114713,0.032661964142520004,0.023770856727922552,0.04635022106448512,0.057276367103801996,0.043126556605825275,0.06991030889777228,0.020659846713922948
Race (choice=American Indian/ Alaska Native),0.013541858418445123,0.006348375262312537,0.057737805282220535,0.028780217727465723,0.00436677139355894,0.0,0.00436677139355894,1.0,0.0,0.0,0.41952841950131503,0.41952841950131503,0.7074997266999346,0.04699183873622622,0.06648187336535061,0.06809107737866579,0.03934031222688771,0.07544681942378048,0.014280852396787835,0.019967449175026335,0.03951537362823939,0.08018283321734557,0.009155879575933458,0.0,0.0,0.02777179884069589,0.0022209839950007707,0.0,0.0,0.0,0.0022209839950007707,0.0,0.0,0.0022209839950007707,0.0,0.0,0.0,0.0022209839950007707,0.011349295816166985,0.13555009131834564,0.007143188923084581,0.05772444065908182,0.059885424806356446,0.05305645793618367,0.059885424806356446,0.00765845373417756,0.00765845373417756,0.059885424806356446,0.0,0.003385809236815119,0.062208542614901066,0.044802315475698753,0.029769908563837266,0.05190843858282386,0.06809438731783173,0.042352073151221234,0.041996786821476305,0.029136472214280035,0.01657860165361335,0.012077632860070187,0.023488533353353477,0.06566911683947146,0.03574911256580998,0.05991233520623869,0.010621071933371272
Race (choice=Native Hawaiian or Pacific Islander),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Race (choice=Unknown or unreported),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
