variable	level	count	reference_level	fraction
Primary Study Name	ACT	69	ACT	0.8214285714285714
Primary Study Name	ADRC Clinical Core	15	ACT	0.17857142857142858
Secondary Study Name	Missing	78	ADRC Clinical Core	0.9285714285714286
Secondary Study Name	ADRC Clinical Core	4	ADRC Clinical Core	0.047619047619047616
Secondary Study Name	SLS	2	ADRC Clinical Core	0.023809523809523808
Sex	Female	51	Female	0.6071428571428571
Sex	Male	33	Female	0.39285714285714285
Race (choice=White)	Checked	81	Checked	0.9642857142857143
Race (choice=White)	Unchecked	3	Checked	0.03571428571428571
Race (choice=Black/ African American)	Unchecked	84	Unchecked	1.0
Race (choice=Asian)	Unchecked	81	Checked	0.9642857142857143
Race (choice=Asian)	Checked	3	Checked	0.03571428571428571
Race (choice=American Indian/ Alaska Native)	Unchecked	83	Checked	0.9880952380952381
Race (choice=American Indian/ Alaska Native)	Checked	1	Checked	0.011904761904761904
Race (choice=Native Hawaiian or Pacific Islander)	Unchecked	84	Unchecked	1.0
Race (choice=Unknown or unreported)	Unchecked	84	Unchecked	1.0
Race (choice=Other)	Unchecked	81	Checked	0.9642857142857143
Race (choice=Other)	Checked	3	Checked	0.03571428571428571
specify other race	Missing	81	Missing	0.9642857142857143
specify other race	Mixed	3	Missing	0.03571428571428571
Hispanic/Latino	No	82	No	0.9761904761904762
Hispanic/Latino	Yes	1	No	0.011904761904761904
Hispanic/Latino	Unknown	1	No	0.011904761904761904
Highest level of education	Graduate (PhD/Masters)	25	Bachelors	0.2976190476190476
Highest level of education	Bachelors	22	Bachelors	0.2619047619047619
Highest level of education	High School	18	Bachelors	0.21428571428571427
Highest level of education	Trade School/ Tech School	15	Bachelors	0.17857142857142858
Highest level of education	Professional	4	Bachelors	0.047619047619047616
APOE Genotype	3/3	47	2/2	0.5595238095238095
APOE Genotype	3/4	17	2/2	0.20238095238095238
APOE Genotype	2/3	11	2/2	0.13095238095238096
APOE Genotype	4/4	6	2/2	0.07142857142857142
APOE Genotype	2/4	2	2/2	0.023809523809523808
APOE Genotype	2/2	1	2/2	0.011904761904761904
Cognitive Status	No dementia	42	Dementia	0.5
Cognitive Status	Dementia	42	Dementia	0.5
Known head injury	Missing	57	Missing	0.6785714285714286
Known head injury	No	17	Missing	0.20238095238095238
Known head injury	Yes	10	Missing	0.11904761904761904
Have they had neuroimaging	Yes	40	No	0.47619047619047616
Have they had neuroimaging	Unknown	38	No	0.4523809523809524
Have they had neuroimaging	No	6	No	0.07142857142857142
Consensus Clinical Dx (choice=Alzheimers disease)	Unchecked	61	Checked	0.7261904761904762
Consensus Clinical Dx (choice=Alzheimers disease)	Checked	23	Checked	0.27380952380952384
Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	Unchecked	75	Checked	0.8928571428571429
Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	Checked	9	Checked	0.10714285714285714
Consensus Clinical Dx (choice=Ataxia)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Corticobasal Degeneration)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Control)	Unchecked	52	Checked	0.6190476190476191
Consensus Clinical Dx (choice=Control)	Checked	32	Checked	0.38095238095238093
Consensus Clinical Dx (choice=Dementia with Lewy Bodies/ Lewy Body Disease)	Unchecked	83	Checked	0.9880952380952381
Consensus Clinical Dx (choice=Dementia with Lewy Bodies/ Lewy Body Disease)	Checked	1	Checked	0.011904761904761904
Consensus Clinical Dx (choice=Frontotemporal lobar degeneration)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Huntingtons disease)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Motor Neuron disease)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Multiple System Atrophy)	Unchecked	83	Checked	0.9880952380952381
Consensus Clinical Dx (choice=Multiple System Atrophy)	Checked	1	Checked	0.011904761904761904
Consensus Clinical Dx (choice=Parkinsons disease)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Parkinsons Cognitive Impairment - no dementia)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Parkinsons Disease Dementia)	Unchecked	83	Checked	0.9880952380952381
Consensus Clinical Dx (choice=Parkinsons Disease Dementia)	Checked	1	Checked	0.011904761904761904
Consensus Clinical Dx (choice=Prion)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Progressive Supranuclear Palsy)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Taupathy)	Unchecked	84	Unchecked	1.0
Consensus Clinical Dx (choice=Vascular Dementia)	Unchecked	83	Checked	0.9880952380952381
Consensus Clinical Dx (choice=Vascular Dementia)	Checked	1	Checked	0.011904761904761904
Consensus Clinical Dx (choice=Unknown)	Unchecked	72	Checked	0.8571428571428571
Consensus Clinical Dx (choice=Unknown)	Checked	12	Checked	0.14285714285714285
Consensus Clinical Dx (choice=Other)	Unchecked	71	Checked	0.8452380952380952
Consensus Clinical Dx (choice=Other)	Checked	13	Checked	0.15476190476190477
If other Consensus dx, describe	Missing	75	Declining cognitive abilities	0.8928571428571429
If other Consensus dx, describe	dementia due to multiple etiologies	2	Declining cognitive abilities	0.023809523809523808
If other Consensus dx, describe	late onset AD	1	Declining cognitive abilities	0.011904761904761904
If other Consensus dx, describe	MCI multidomain (amnestic, language, attention, executive, visuospatial)	1	Declining cognitive abilities	0.011904761904761904
If other Consensus dx, describe	EOAD	1	Declining cognitive abilities	0.011904761904761904
If other Consensus dx, describe	Note in 2018 OPCA vs MSA?	1	Declining cognitive abilities	0.011904761904761904
If other Consensus dx, describe	brain mets	1	Declining cognitive abilities	0.011904761904761904
