variable	n	missing	mean	std	min	q25	median	q75	max	skew	kurtosis	t_df	t_loc	t_scale
Age at Death	84	0	88.72619047619048	8.02909046819216	65.0	83.75	90.0	94.0	102.0	-0.8762868418566551	0.4931976986927449	11.714513020155216	89.4332585219725	7.3943701386951695
Age of Dementia diagnosis	36	48	83.72222222222223	10.393984829454036	53.0	81.0	86.0	91.0	97.0	-1.3775927648009196	1.5077440188673146	15.287424980751041	83.74147305559558	10.265892071273619
Age of onset cognitive symptoms	38	46	81.0	11.420701923806279	53.0	78.25	84.0	88.0	94.0	-1.0812891753253733	0.19208062626651579	36.05801832251862	81.18689347449597	10.92840906457705
Brain pH	84	0	6.672619047619049	0.40845025665671625	4.5	6.4	6.7	6.8	7.6	-1.4561875422316775	8.791400368961185	4.189398020825733	6.672848113898754	0.28313033763113066
Fresh Brain Weight	83	0	1156.6626506024097	118.25584883265829	908.0	1057.0	1162.0	1252.0	1397.0	-0.11781251844322298	-0.8927295547164564	2415612.696958039	1156.662655343469	117.54127761266787
Interval from last CASI in months	69	15	31.995652173913047	26.166994448454968	0.7	14.5	25.8	41.3	127.2	1.5664142422303704	2.9254564058271395	3.143171992452923	26.400567446393044	17.142921894666586
Interval from last MMSE in months	80	4	36.6325	27.83956193729994	1.8	16.825	27.7	55.300000000000004	117.6	0.8966543951503225	-0.02154385557208416	31446.464108784738	36.6365510381256	27.67033307762174
Interval from last MOCA in months	15	69	30.87333333333333	16.03239874516005	10.1	15.5	33.4	41.2	62.2	0.321760912653657	-0.8890269400765534	8248829343.063522	30.873357450867246	15.488749393997981
Last CASI Score	69	15	87.31884057971014	9.162732628654588	66.0	80.0	89.0	95.0	99.0	-0.6731744227207115	-0.5095933934711985	18149.728232111498	87.31920346135111	9.095746107568068
Last MMSE Score	80	4	24.65	4.463920057357772	6.0	22.0	25.0	27.25	33.0	-1.409584059337214	3.5920422887803327	4.833511323421892	25.47254914443225	3.477652856472215
Last MOCA Score	15	69	18.266666666666666	6.238894896038041	4.0	16.0	20.0	22.0	25.0	-1.1363504560257685	0.9288560979439149	4.083835916906793	19.337807581260225	4.599585109724364
PMI	84	0	6.966428571428579	2.285090361751444	3.2	5.0	6.90833333333335	8.658333333333333	11.416666666667	0.2585608971583132	-1.0386373180385147	5695953.423715582	6.966773750799156	2.271344364542452
RIN	84	0	8.184166666666666	1.26892536673572	2.9	7.4975	8.63	9.07	9.6	-1.786254773051313	4.407330999622805	3.415948755697805	8.458823190009685	0.8473071545427437
Total Microinfarcts (not observed grossly)	84	0	1.5	2.796297035086533	0.0	0.0	0.0	2.0	15.0	2.902481811996864	9.01683282925898	0.2785186586561113	1.5062345628568923e-19	3.8436378747033643e-19
Total microinfarcts in screening sections	84	0	0.9880952380952381	2.008980126195113	0.0	0.0	0.0	1.0	10.0	3.0762313772724	9.64409788299546	0.4918561696596772	-6.41226628680623e-20	1.085739138617628e-19
Years of education	84	0	16.202380952380953	2.775884801543473	12.0	14.0	16.0	18.0	21.0	0.15579242319117856	-0.8100470925260908	139112230.16936684	16.202335226403942	2.759294767517788
