variable	model_type	n_samples	r_square_reported	rmse	mae	status
Age at Death	decision_tree_regressor	84	0.6040588695621746	5.022050365460507	4.073500309214595	ok
Age of Dementia diagnosis	decision_tree_regressor	36	0.9077899562163909	3.1121030164802037	2.1111111111111103	ok
Age of onset cognitive symptoms	decision_tree_regressor	38	0.9033383984896625	3.50371565510286	2.297953216374269	ok
Brain pH	decision_tree_regressor	84	0.4776976314318875	0.29342666264197315	0.21056878306878307	ok
Fresh Brain Weight	decision_tree_regressor	83	0.5705181629724416	77.03053440186538	59.60207235869888	ok
Interval from last CASI in months	decision_tree_regressor	69	0.8378817494148277	10.459229861847744	6.692974465148378	ok
Interval from last MMSE in months	decision_tree_regressor	80	0.8666976508705888	10.10066228722515	6.758695496632997	ok
Interval from last MOCA in months	decision_tree_regressor	15	0.5348556589352367	10.563571225539071	6.985185185185185	ok
Last CASI Score	decision_tree_regressor	69	0.7939018266729926	4.12944794814421	3.0515893313847275	ok
Last MMSE Score	decision_tree_regressor	80	0.6225132893965615	2.725434781442983	1.9376176470588233	ok
Last MOCA Score	decision_tree_regressor	15	0.476443164738369	4.361219794419687	3.369047619047619	ok
PMI	decision_tree_regressor	84	0.30092219396960995	1.8991774235156313	1.5137139077853432	ok
RIN	decision_tree_regressor	84	0.626310672255076	0.7710647155332933	0.5939266817838247	ok
Total Microinfarcts (not observed grossly)	decision_tree_regressor	84	0.791573108393261	1.2689940365951178	0.6540044488549471	ok
Total microinfarcts in screening sections	decision_tree_regressor	84	0.861558200607575	0.743033956474295	0.33572601454374856	ok
Years of education	decision_tree_regressor	84	0.8084854073387848	1.2075407007090195	0.8685330542473398	ok
